Operator,Sample_Count,Avg_Lexical_Diversity,Max_Lexical_Diversity,Min_Lexical_Diversity,Std_Lexical_Diversity,Avg_Toxicity,Max_Toxicity,Min_Toxicity,Std_Toxicity,Toxicity_Diversity_Ratio,High_Toxicity_Count,High_Toxicity_Percentage,Diversity_Score,Toxicity_Score,Combined_Score,Risk_Level,Risk_Score,Diversity_Rank,Toxicity_Rank,Combined_Rank,Safety_Rank
LLMBackTranslation_ZH,77,0.6275931860347447,0.6883116883116883,0.6267942583732058,0.0069648898796932195,0.024133766233766233,0.0267,0.0239,0.0003551514729379155,0.03845447460360117,0,0.0,0.6275931860347447,0.9758662337662337,0.8017297099004892,MINIMAL,0,4.0,1.0,1.0,7.5
InstructionPreservingCrossover,842,0.6526793452829842,1.0,0.1325503355704698,0.13005026183233873,0.05285855106888361,0.3141,0.0072,0.039362530011699905,0.08098701368581775,0,0.0,0.6526793452829842,0.9471414489311164,0.7999103971070503,MINIMAL,0,1.0,9.0,2.0,7.5
SemanticSimilarityCrossover,331,0.6465541233949956,1.0,0.006831318970047294,0.13115453199548033,0.06303836858006043,0.361,0.0104,0.044592891699100586,0.09749898159964059,0,0.0,0.6465541233949956,0.9369616314199396,0.7917578774074676,MINIMAL,0,2.0,11.0,3.0,7.5
OnePointCrossover,335,0.6308669665464395,0.95,0.3553826199740597,0.12071479834727518,0.050520298507462695,0.282,0.0077,0.04079499683876777,0.0800807479016161,0,0.0,0.6308669665464395,0.9494797014925374,0.7901733340194884,MINIMAL,0,3.0,8.0,4.0,7.5
LLMBasedParaphrasing,252,0.6274011758067419,0.8857142857142857,0.46001719690455717,0.07812090710543454,0.0704984126984127,0.3155,0.0077,0.03689028453019262,0.11236576438952721,0,0.0,0.6274011758067419,0.9295015873015873,0.7784513815541646,MINIMAL,0,5.0,13.0,5.0,7.5
LLMBackTranslation_DE,69,0.5772058823529412,0.5772058823529411,0.5772058823529411,1.1102230246251565e-16,0.04389999999999999,0.0439,0.0439,1.3877787807814457e-17,0.07605605095541398,0,0.0,0.5772058823529412,0.9561000000000001,0.7666529411764706,MINIMAL,0,9.0,7.0,6.0,7.5
BertMLM,185,0.5951814042449804,0.7647058823529411,0.4585987261146497,0.055193595656281236,0.06282,0.2524,0.0142,0.03575712788514473,0.1055476524500804,0,0.0,0.5951814042449804,0.93718,0.7661807021224902,MINIMAL,0,8.0,10.0,7.0,7.5
BackTranslation_DE,2,0.5585446242795853,0.5968992248062015,0.5201900237529691,0.03835460052661621,0.03255,0.0366,0.0285,0.00405,0.05827645381420189,0,0.0,0.5585446242795853,0.96745,0.7629973121397926,MINIMAL,0,11.0,3.0,8.0,7.5
BackTranslation_ZH,166,0.5521938896915631,0.5988372093023255,0.485838779956427,0.03976977881902307,0.04233915662650603,0.0597,0.0248,0.006040992239734164,0.07667443884639008,0,0.0,0.5521938896915631,0.957660843373494,0.7549273665325286,MINIMAL,0,12.0,6.0,9.0,7.5
LLMBackTranslation_JA,48,0.5986803519061583,0.6,0.5366568914956011,0.009047051525455924,0.09117083333333333,0.0919,0.0785,0.0018892192317345156,0.1522863294962854,0,0.0,0.5986803519061583,0.9088291666666667,0.7537547592864124,MINIMAL,0,6.0,14.0,10.0,7.5
BackTranslation_FR,2,0.5315817409766455,0.5833333333333334,0.47983014861995754,0.051751592356687914,0.031,0.0331,0.0289,0.0020999999999999994,0.058316525212181725,0,0.0,0.5315817409766455,0.969,0.7502908704883227,MINIMAL,0,13.0,2.0,11.0,7.5
LLMBackTranslation_FR,1,0.5620437956204379,0.5620437956204379,0.5620437956204379,0.0,0.0682,0.0682,0.0682,0.0,0.12134285714285714,0,0.0,0.5620437956204379,0.9318,0.746921897810219,MINIMAL,0,10.0,12.0,12.0,7.5
BackTranslation_HI,239,0.5242833858729845,0.6986301369863014,0.483739837398374,0.029928257293438017,0.032702928870292886,0.1252,0.0151,0.0072246057788790475,0.06237643562906199,0,0.0,0.5242833858729845,0.9672970711297071,0.7457902285013458,MINIMAL,0,14.0,4.0,13.0,7.5
LLMBackTranslation_HI,20,0.5956559334416264,0.607773851590106,0.4318181818181818,0.040269614217003216,0.11120500000000003,0.1703,0.0359,0.021421565652398056,0.18669334721047984,0,0.0,0.5956559334416264,0.888795,0.7422254667208132,MINIMAL,1,7.0,15.0,14.0,15.0
BackTranslation_JA,212,0.515270478632896,0.691358024691358,0.25600961538461536,0.06897500456639913,0.03288018867924528,0.1269,0.0202,0.009501021988834922,0.06381151267676398,0,0.0,0.515270478632896,0.9671198113207548,0.7411951449768254,MINIMAL,0,15.0,5.0,15.0,7.5
