operator,count,avg_lexical_diversity,max_lexical_diversity,min_lexical_diversity,std_lexical_diversity,avg_toxicity,max_toxicity,min_toxicity,std_toxicity,toxicity_diversity_ratio
InstructionPreservingCrossover,842,0.6526793452829842,1.0,0.1325503355704698,0.13012755768572012,0.05285855106888361,0.3141,0.0072,0.03938592527677386,0.08098701368581775
SemanticSimilarityCrossover,331,0.6465541233949956,1.0,0.006831318970047294,0.1313531006663314,0.06303836858006043,0.361,0.0104,0.04466040557833429,0.09749898159964059
OnePointCrossover,335,0.6308669665464395,0.95,0.3553826199740597,0.12089537406279803,0.050520298507462695,0.282,0.0077,0.04085602155027597,0.0800807479016161
LLMBackTranslation_ZH,77,0.6275931860347447,0.6883116883116883,0.6267942583732058,0.00701056177810486,0.024133766233766233,0.0267,0.0239,0.00035748036000906035,0.03845447460360117
LLMBasedParaphrasing,252,0.6274011758067419,0.8857142857142857,0.46001719690455717,0.07827637175095538,0.0704984126984127,0.3155,0.0077,0.03696369810435797,0.11236576438952721
LLMBackTranslation_JA,48,0.5986803519061583,0.6,0.5366568914956011,0.009142790186580586,0.09117083333333333,0.0919,0.0785,0.0019092115263852425,0.1522863294962854
LLMBackTranslation_HI,20,0.5956559334416264,0.607773851590106,0.4318181818181818,0.04131575243346585,0.11120500000000003,0.1703,0.0359,0.021978062627131294,0.18669334721047984
BertMLM,185,0.5951814042449804,0.7647058823529411,0.4585987261146497,0.05534337502434909,0.06282,0.2524,0.0142,0.03585416233189306,0.1055476524500804
LLMBackTranslation_DE,69,0.5772058823529412,0.5772058823529411,0.5772058823529411,1.1183566353737152e-16,0.04389999999999999,0.0439,0.0439,1.397945794217144e-17,0.07605605095541398
LLMBackTranslation_FR,1,0.5620437956204379,0.5620437956204379,0.5620437956204379,,0.0682,0.0682,0.0682,,0.12134285714285714
BackTranslation_DE,2,0.5585446242795853,0.5968992248062015,0.5201900237529691,0.054241596244142896,0.03255,0.0366,0.0285,0.005727564927611034,0.05827645381420189
BackTranslation_ZH,166,0.5521938896915631,0.5988372093023255,0.485838779956427,0.039890111253833224,0.04233915662650603,0.0597,0.0248,0.006059270624137165,0.07667443884639008
BackTranslation_FR,2,0.5315817409766455,0.5833333333333334,0.47983014861995754,0.07318780378523185,0.031,0.0331,0.0289,0.002969848480983499,0.058316525212181725
BackTranslation_HI,239,0.5242833858729845,0.6986301369863014,0.483739837398374,0.029991065877303744,0.032702928870292886,0.1252,0.0151,0.007239767612510405,0.06237643562906199
BackTranslation_JA,212,0.515270478632896,0.691358024691358,0.25600961538461536,0.06913825924344705,0.03288018867924528,0.1269,0.0202,0.009523509646301031,0.06381151267676398
