generation,operator,NE,EHR,IR,cEHR,Δμ,Δσ,total_variants,elite_count,non_elite_count,rejections,duplicates
1.0,ConceptAdditionOperator,0.0,50.0,50.0,100.0,-0.0009,0.0,1.0,1.0,0.0,1.0,0.0
1.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,LLMBasedParaphrasing,0.0,100.0,0.0,100.0,0.0049,0.0069,2.0,2.0,0.0,0.0,0.0
1.0,LLM_POSAwareSynonymReplacement,0.0,50.0,50.0,100.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1.0,MLM,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
1.0,NegationOperator,0.0,100.0,0.0,100.0,0.016,0.0057,2.0,2.0,0.0,0.0,0.0
1.0,POSAwareAntonymReplacement,0.0,50.0,50.0,100.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
1.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
1.0,StylisticMutator,0.0,50.0,50.0,100.0,0.0022,0.0,1.0,1.0,0.0,1.0,0.0
1.0,TypographicalErrorsOperator,0.0,100.0,0.0,100.0,-0.0008,0.0011,2.0,2.0,0.0,0.0,0.0
2.0,ConceptAdditionOperator,0.0,50.0,50.0,100.0,0.0013,0.0,1.0,1.0,0.0,1.0,0.0
2.0,InformedEvolutionOperator,0.0,50.0,50.0,100.0,0.1267,0.0,1.0,1.0,0.0,1.0,0.0
2.0,LLMBackTranslation_HI,0.0,50.0,50.0,100.0,0.0074,0.0,1.0,1.0,0.0,1.0,0.0
2.0,LLMBasedParaphrasing,0.0,50.0,50.0,100.0,0.0383,0.0,1.0,1.0,0.0,1.0,0.0
2.0,LLM_POSAwareSynonymReplacement,0.0,50.0,50.0,100.0,-0.0038,0.0,1.0,1.0,0.0,1.0,0.0
2.0,MLM,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
2.0,NegationOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
2.0,POSAwareAntonymReplacement,0.0,50.0,50.0,100.0,-0.0171,0.0,1.0,1.0,0.0,1.0,0.0
2.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
2.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
2.0,StylisticMutator,0.0,100.0,0.0,100.0,-0.0084,0.0064,2.0,2.0,0.0,0.0,0.0
2.0,TypographicalErrorsOperator,0.0,50.0,50.0,100.0,-0.0036,0.0,1.0,1.0,0.0,1.0,0.0
3.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,InformedEvolutionOperator,0.0,50.0,50.0,100.0,0.1265,0.0,1.0,1.0,0.0,1.0,0.0
3.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,LLMBasedParaphrasing,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,LLM_POSAwareSynonymReplacement,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
3.0,MLM,0.0,50.0,50.0,100.0,0.0127,0.0,1.0,1.0,0.0,1.0,0.0
3.0,NegationOperator,0.0,50.0,50.0,100.0,0.0036,0.0,1.0,1.0,0.0,1.0,0.0
3.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,-0.0024,0.003,2.0,2.0,0.0,0.0,0.0
3.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
3.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
3.0,StylisticMutator,0.0,50.0,50.0,100.0,0.0065,0.0,1.0,1.0,0.0,1.0,0.0
3.0,TypographicalErrorsOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
4.0,ConceptAdditionOperator,0.0,100.0,0.0,100.0,-0.0623,0.0854,2.0,2.0,0.0,0.0,0.0
4.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
4.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
4.0,LLMBasedParaphrasing,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
4.0,LLM_POSAwareSynonymReplacement,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,2.0,0.0
4.0,MLM,0.0,50.0,50.0,100.0,0.0488,0.0,1.0,1.0,0.0,1.0,0.0
4.0,NegationOperator,0.0,50.0,50.0,100.0,-0.0021,0.0,1.0,1.0,0.0,1.0,0.0
4.0,POSAwareAntonymReplacement,0.0,50.0,50.0,100.0,-0.2038,0.0,1.0,1.0,0.0,1.0,0.0
4.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,1.0,0.0
4.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0
4.0,StylisticMutator,0.0,50.0,50.0,100.0,-0.0976,0.0,1.0,1.0,0.0,1.0,0.0
4.0,TypographicalErrorsOperator,0.0,50.0,50.0,100.0,-0.0375,0.0,1.0,1.0,0.0,1.0,0.0
5.0,ConceptAdditionOperator,0.0,50.0,50.0,100.0,0.0592,0.0,1.0,1.0,0.0,1.0,0.0
5.0,InformedEvolutionOperator,0.0,50.0,50.0,100.0,-0.1483,0.0,1.0,1.0,0.0,1.0,0.0
5.0,LLMBackTranslation_HI,0.0,50.0,50.0,100.0,-0.0329,0.0,1.0,1.0,0.0,1.0,0.0
