operator,count,mean,median,std,min,max,q25,q75,iqr,skewness,kurtosis,high_toxicity_count,high_toxicity_pct,very_high_toxicity_count,very_high_toxicity_pct,range,risk_level
LLMBackTranslation_HI,20,0.11120500000000003,0.1121,0.021421565652398056,0.0359,0.1703,0.1121,0.1121,0.0,-1.122364812967982,7.531703114166913,0,0.0,0,0.0,0.13440000000000002,MINIMAL
LLMBackTranslation_JA,48,0.09117083333333333,0.0911,0.0018892192317345156,0.0785,0.0919,0.0911,0.0919,0.0007999999999999952,-6.26139076607781,39.16433969183119,0,0.0,0,0.0,0.013399999999999995,MINIMAL
LLMBasedParaphrasing,252,0.0704984126984127,0.0638,0.03689028453019262,0.0077,0.3155,0.0434,0.0954,0.052,1.5748274906204351,7.1238039426974,0,0.0,0,0.0,0.3078,MINIMAL
LLMBackTranslation_FR,1,0.0682,0.0682,0.0,0.0682,0.0682,0.0682,0.0682,0.0,,,0,0.0,0,0.0,0.0,MINIMAL
SemanticSimilarityCrossover,331,0.06303836858006043,0.0474,0.044592891699100586,0.0104,0.361,0.0388,0.0741,0.0353,2.474424889719608,8.71409535074342,0,0.0,0,0.0,0.35059999999999997,MINIMAL
BertMLM,185,0.06282,0.0486,0.03575712788514473,0.0142,0.2524,0.0385,0.0824,0.0439,1.5296087278882533,3.845055215301059,0,0.0,0,0.0,0.23820000000000002,MINIMAL
InstructionPreservingCrossover,842,0.05285855106888361,0.042050000000000004,0.039362530011699905,0.0072,0.3141,0.029825,0.059,0.029174999999999996,2.6564555506180074,9.578946713477608,0,0.0,0,0.0,0.3069,MINIMAL
OnePointCrossover,335,0.050520298507462695,0.0371,0.04079499683876777,0.0077,0.282,0.02545,0.058,0.03255,2.426752237330214,7.258146497676817,0,0.0,0,0.0,0.2743,MINIMAL
LLMBackTranslation_DE,69,0.04389999999999999,0.0439,1.3877787807814457e-17,0.0439,0.0439,0.0439,0.0439,0.0,1.0,-2.0,0,0.0,0,0.0,0.0,MINIMAL
BackTranslation_ZH,166,0.04233915662650603,0.0397,0.006040992239734164,0.0248,0.0597,0.0392,0.0483,0.009100000000000004,0.4826341798194517,0.3339741955710167,0,0.0,0,0.0,0.0349,MINIMAL
BackTranslation_JA,212,0.03288018867924528,0.0345,0.009501021988834922,0.0202,0.1269,0.0265,0.0347,0.008200000000000002,4.741369858393684,43.528071604289885,0,0.0,0,0.0,0.10670000000000002,MINIMAL
BackTranslation_HI,239,0.032702928870292886,0.0322,0.0072246057788790475,0.0151,0.1252,0.0302,0.0347,0.0045000000000000005,8.732594077338726,110.10333051695822,0,0.0,0,0.0,0.1101,MINIMAL
BackTranslation_DE,2,0.03255,0.03255,0.00405,0.0285,0.0366,0.030525,0.034575,0.0040500000000000015,-1.2949965652708753e-15,-1.9999999999999998,0,0.0,0,0.0,0.0081,MINIMAL
BackTranslation_FR,2,0.031,0.031,0.0020999999999999994,0.0289,0.0331,0.029949999999999997,0.032049999999999995,0.0020999999999999977,-2.5009239986486115e-15,-2.0,0,0.0,0,0.0,0.004199999999999999,MINIMAL
LLMBackTranslation_ZH,77,0.024133766233766233,0.0243,0.0003551514729379155,0.0239,0.0267,0.0239,0.0243,0.0003999999999999976,4.809433210104397,32.51928676539687,0,0.0,0,0.0,0.0028000000000000004,MINIMAL
