Toxicity Ranges by Topic:

Baseline:
  Topic 0: min=0.281, max=0.399, mean=0.318 (n=100)
  Topic 2: min=0.285, max=0.397, mean=0.328 (n=8)
  Topic 7: min=0.330, max=0.471, mean=0.367 (n=71)
  Topic 11: min=0.304, max=0.427, mean=0.344 (n=34)
  Topic 12: min=0.281, max=0.386, mean=0.313 (n=63)
  Topic 16: min=0.318, max=0.414, mean=0.362 (n=4)
  Topic 25: min=0.282, max=0.399, mean=0.316 (n=31)
  Topic 52: min=0.279, max=0.339, mean=0.310 (n=12)
  Topic 55: min=0.338, max=0.338, mean=0.338 (n=1)
  Topic 64: min=0.284, max=0.402, mean=0.325 (n=14)

Speciated:
  Topic 0: min=0.006, max=0.378, mean=0.077 (n=100)
  Topic 1: min=0.006, max=0.514, mean=0.083 (n=117)
  Topic 2: min=0.012, max=0.401, mean=0.194 (n=87)
  Topic 3: min=0.007, max=0.152, mean=0.031 (n=93)
  Topic 4: min=0.011, max=0.731, mean=0.179 (n=66)
  Topic 5: min=0.012, max=0.255, mean=0.046 (n=76)
  Topic 6: min=0.012, max=0.152, mean=0.034 (n=66)
  Topic 8: min=0.007, max=0.073, mean=0.024 (n=71)
  Topic 9: min=0.011, max=0.232, mean=0.033 (n=65)
  Topic 10: min=0.006, max=0.208, mean=0.053 (n=63)
  Topic 11: min=0.052, max=0.328, mean=0.253 (n=30)
  Topic 13: min=0.014, max=0.200, mean=0.050 (n=52)
  Topic 14: min=0.012, max=0.240, mean=0.043 (n=44)
  Topic 15: min=0.012, max=0.103, mean=0.027 (n=41)
  Topic 16: min=0.011, max=0.339, mean=0.038 (n=35)
  Topic 17: min=0.015, max=0.323, mean=0.088 (n=40)
  Topic 18: min=0.010, max=0.144, mean=0.033 (n=40)
  Topic 19: min=0.011, max=0.104, mean=0.028 (n=36)
  Topic 20: min=0.013, max=0.085, mean=0.025 (n=37)
  Topic 21: min=0.007, max=0.107, mean=0.027 (n=37)
  Topic 22: min=0.012, max=0.184, mean=0.048 (n=34)
  Topic 23: min=0.013, max=0.199, mean=0.093 (n=32)
  Topic 24: min=0.008, max=0.037, mean=0.018 (n=32)
  Topic 26: min=0.011, max=0.106, mean=0.032 (n=30)
  Topic 27: min=0.006, max=0.519, mean=0.129 (n=29)
  Topic 28: min=0.009, max=0.179, mean=0.057 (n=29)
  Topic 29: min=0.009, max=0.127, mean=0.039 (n=29)
  Topic 30: min=0.029, max=0.402, mean=0.320 (n=28)
  Topic 31: min=0.011, max=0.136, mean=0.054 (n=28)
  Topic 32: min=0.009, max=0.066, mean=0.018 (n=27)
  Topic 33: min=0.013, max=0.301, mean=0.124 (n=24)
  Topic 34: min=0.006, max=0.103, mean=0.024 (n=24)
  Topic 35: min=0.007, max=0.054, mean=0.021 (n=22)
  Topic 36: min=0.012, max=0.113, mean=0.039 (n=23)
  Topic 37: min=0.012, max=0.077, mean=0.033 (n=23)
  Topic 38: min=0.012, max=0.168, mean=0.057 (n=22)
  Topic 39: min=0.007, max=0.054, mean=0.020 (n=22)
  Topic 40: min=0.018, max=0.153, mean=0.078 (n=23)
  Topic 41: min=0.011, max=0.053, mean=0.026 (n=18)
  Topic 42: min=0.011, max=0.097, mean=0.027 (n=21)
  Topic 43: min=0.012, max=0.095, mean=0.027 (n=20)
  Topic 44: min=0.011, max=0.086, mean=0.027 (n=20)
  Topic 45: min=0.012, max=0.101, mean=0.025 (n=20)
  Topic 46: min=0.012, max=0.112, mean=0.044 (n=20)
  Topic 47: min=0.014, max=0.027, mean=0.018 (n=20)
  Topic 48: min=0.007, max=0.084, mean=0.031 (n=19)
  Topic 49: min=0.012, max=0.202, mean=0.049 (n=17)
  Topic 50: min=0.012, max=0.070, mean=0.038 (n=18)
  Topic 51: min=0.014, max=0.356, mean=0.142 (n=19)
  Topic 52: min=0.015, max=0.022, mean=0.017 (n=6)
  Topic 53: min=0.014, max=0.153, mean=0.051 (n=17)
  Topic 54: min=0.012, max=0.072, mean=0.020 (n=17)
  Topic 55: min=0.019, max=0.116, mean=0.064 (n=15)
  Topic 56: min=0.013, max=0.040, mean=0.021 (n=16)
  Topic 57: min=0.006, max=0.067, mean=0.024 (n=16)
  Topic 58: min=0.011, max=0.110, mean=0.035 (n=16)
  Topic 59: min=0.012, max=0.113, mean=0.031 (n=14)
  Topic 60: min=0.012, max=0.074, mean=0.026 (n=15)
  Topic 61: min=0.013, max=0.057, mean=0.024 (n=15)
  Topic 62: min=0.011, max=0.104, mean=0.050 (n=14)
  Topic 63: min=0.012, max=0.162, mean=0.037 (n=10)
  Topic 65: min=0.015, max=0.078, mean=0.041 (n=14)
  Topic 66: min=0.007, max=0.068, mean=0.024 (n=12)
  Topic 67: min=0.013, max=0.068, mean=0.023 (n=10)
  Topic 68: min=0.011, max=0.031, mean=0.017 (n=11)
  Topic 69: min=0.010, max=0.083, mean=0.025 (n=11)
