Operator,NE,EHR,IR,cEHR,Δμ,Δσ
ConceptAdditionOperator,55.08,4.08,39.33,6.74,-0.06,0.13
InformedEvolutionOperator,45.96,8.28,43.98,14.95,-0.18,0.11
LLMBackTranslation_HI,70.85,4.35,20.08,5.52,-0.08,0.13
LLMBasedParaphrasing,55.11,3.01,40.23,5.13,-0.07,0.13
LLM_POSAwareSynonymReplacement,76.59,5.89,12.59,6.95,-0.06,0.12
MLM,59.5,5.55,27.95,8.34,-0.06,0.12
NegationOperator,71.24,4.45,18.38,5.67,-0.07,0.12
POSAwareAntonymReplacement,83.78,6.29,4.79,6.76,-0.06,0.12
SemanticFusionCrossover,40.2,2.06,55.68,4.6,-0.06,0.09
SemanticSimilarityCrossover,20.85,1.99,0.0,8.69,-0.06,0.1
StylisticMutator,55.32,2.47,40.56,4.13,-0.07,0.13
TypographicalErrorsOperator,41.88,3.02,53.62,6.41,-0.07,0.12
