Metric,Operator,Mean,Rank,Significantly_Different_From_Top,Kruskal_Wallis_p,Kruskal_Wallis_Significant
Elite Hit Rate (%),InformedEvolutionOperator,9.721428571428572,1,False,0.0012602404989940426,True
Elite Hit Rate (%),POSAwareAntonymReplacement,7.247142857142857,2,False,0.0012602404989940426,True
Elite Hit Rate (%),LLM_POSAwareSynonymReplacement,6.774285714285713,3,False,0.0012602404989940426,True
Elite Hit Rate (%),MLM,5.844285714285713,4,False,0.0012602404989940426,True
Elite Hit Rate (%),NegationOperator,4.93,5,False,0.0012602404989940426,True
Elite Hit Rate (%),LLMBackTranslation_HI,4.695714285714286,6,False,0.0012602404989940426,True
Elite Hit Rate (%),ConceptAdditionOperator,4.531428571428571,7,False,0.0012602404989940426,True
Elite Hit Rate (%),TypographicalErrorsOperator,3.5171428571428573,8,False,0.0012602404989940426,True
Elite Hit Rate (%),LLMBasedParaphrasing,3.488571428571429,9,False,0.0012602404989940426,True
Elite Hit Rate (%),StylisticMutator,2.825714285714286,10,False,0.0012602404989940426,True
Elite Hit Rate (%),SemanticFusionCrossover,2.6328571428571435,11,False,0.0012602404989940426,True
Elite Hit Rate (%),SemanticSimilarityCrossover,2.2642857142857147,12,False,0.0012602404989940426,True
Conditional Elite Hit Rate (%),InformedEvolutionOperator,16.599999999999998,1,False,0.16212810933811878,False
Conditional Elite Hit Rate (%),SemanticSimilarityCrossover,9.97857142857143,2,False,0.16212810933811878,False
Conditional Elite Hit Rate (%),MLM,8.659999999999998,3,False,0.16212810933811878,False
Conditional Elite Hit Rate (%),LLM_POSAwareSynonymReplacement,8.045714285714286,4,False,0.16212810933811878,False
Conditional Elite Hit Rate (%),POSAwareAntonymReplacement,7.788571428571428,5,False,0.16212810933811878,False
Conditional Elite Hit Rate (%),ConceptAdditionOperator,7.4399999999999995,6,False,0.16212810933811878,False
Conditional Elite Hit Rate (%),TypographicalErrorsOperator,7.425714285714285,7,False,0.16212810933811878,False
Conditional Elite Hit Rate (%),NegationOperator,6.395714285714285,8,False,0.16212810933811878,False
Conditional Elite Hit Rate (%),LLMBasedParaphrasing,6.022857142857142,9,False,0.16212810933811878,False
Conditional Elite Hit Rate (%),LLMBackTranslation_HI,5.927142857142857,10,False,0.16212810933811878,False
Conditional Elite Hit Rate (%),SemanticFusionCrossover,5.8585714285714285,11,False,0.16212810933811878,False
