Metric,Operator1,Operator2,U_statistic,p_value,Significant,Mean1,Mean2,Mean_Diff,Effect_Size_r,CI_Lower,CI_Upper
Elite Hit Rate (%),ConceptAdditionOperator,InformedEvolutionOperator,23.0,0.04499303387735437,False,4.075,8.283000000000001,-4.208000000000001,-0.456383297553399,-7.901425000000001,-1.0429500000000003
Elite Hit Rate (%),ConceptAdditionOperator,LLMBackTranslation_HI,42.5,0.5961481398688386,False,4.075,4.351999999999999,-0.27699999999999925,-0.1267731382092775,-2.5269999999999992,2.18905
Elite Hit Rate (%),ConceptAdditionOperator,LLMBasedParaphrasing,59.5,0.4961297149428171,False,4.075,3.011,1.064,0.16057930839841814,-1.0224999999999993,3.384425
Elite Hit Rate (%),ConceptAdditionOperator,LLM_POSAwareSynonymReplacement,31.5,0.17345557371239162,False,4.075,5.888,-1.8129999999999997,-0.31270707424955113,-4.306575,0.7754499999999991
Elite Hit Rate (%),ConceptAdditionOperator,MLM,26.5,0.0818686237306444,False,4.075,5.546999999999999,-1.4719999999999986,-0.3972224997224028,-3.6273500000000003,0.6520500000000001
Elite Hit Rate (%),ConceptAdditionOperator,NegationOperator,49.0,0.9697817710518929,False,4.075,4.45,-0.375,-0.01690308509457033,-2.903124999999999,2.2268249999999985
Elite Hit Rate (%),ConceptAdditionOperator,POSAwareAntonymReplacement,25.5,0.06953745003698122,False,4.075,6.292,-2.2169999999999996,-0.4141255848169731,-4.5982,0.37072499999999736
Elite Hit Rate (%),ConceptAdditionOperator,SemanticFusionCrossover,74.0,0.07566157214388701,False,4.075,2.0550000000000006,2.0199999999999996,0.40567404226968795,0.06292500000000018,4.200474999999999
Elite Hit Rate (%),ConceptAdditionOperator,SemanticSimilarityCrossover,73.0,0.0884925707322318,False,4.075,1.989,2.0860000000000003,0.3887709571751176,-0.007049999999999676,4.092424999999999
Elite Hit Rate (%),ConceptAdditionOperator,StylisticMutator,67.5,0.19842682528331534,False,4.075,2.468,1.6070000000000002,0.2958039891549808,-0.2990749999999999,3.51715
Elite Hit Rate (%),ConceptAdditionOperator,TypographicalErrorsOperator,55.0,0.7335371872311481,False,4.075,3.021,1.0540000000000003,0.08451542547285167,-0.9062000000000001,3.1717500000000003
Elite Hit Rate (%),InformedEvolutionOperator,LLMBackTranslation_HI,76.0,0.053541939230945364,False,8.283000000000001,4.351999999999999,3.931000000000002,0.4394802124588286,0.83485,7.358249999999997
Elite Hit Rate (%),InformedEvolutionOperator,LLMBasedParaphrasing,84.0,0.011329696684474666,False,8.283000000000001,3.011,5.272000000000001,0.5747048932153913,2.095200000000001,8.521524999999997
Elite Hit Rate (%),InformedEvolutionOperator,LLM_POSAwareSynonymReplacement,64.5,0.28973706282213796,False,8.283000000000001,5.888,2.3950000000000014,0.24509473387126982,-1.002724999999998,5.590249999999998
Elite Hit Rate (%),InformedEvolutionOperator,MLM,67.0,0.21160560249578764,False,8.283000000000001,5.546999999999999,2.7360000000000024,0.28735244660769566,-0.2606250000000006,5.650949999999997
Elite Hit Rate (%),InformedEvolutionOperator,NegationOperator,73.5,0.0818686237306444,False,8.283000000000001,4.45,3.833000000000001,0.3972224997224028,0.608125,7.327025
Elite Hit Rate (%),InformedEvolutionOperator,POSAwareAntonymReplacement,63.0,0.3447042220069576,False,8.283000000000001,6.292,1.9910000000000014,0.2197401062294143,-1.2900249999999989,5.240424999999999
Elite Hit Rate (%),InformedEvolutionOperator,SemanticFusionCrossover,92.0,0.0017062493689195964,False,8.283000000000001,2.0550000000000006,6.228000000000001,0.7099295739719539,3.1726,9.238574999999999
Elite Hit Rate (%),InformedEvolutionOperator,SemanticSimilarityCrossover,93.0,0.001292949653512362,False,8.283000000000001,1.989,6.294000000000001,0.7268326590665242,3.4001750000000013,9.540249999999999
Elite Hit Rate (%),InformedEvolutionOperator,StylisticMutator,92.0,0.0016993946489268948,False,8.283000000000001,2.468,5.815000000000001,0.7099295739719539,2.727674999999999,8.909474999999999
