topic_num,top_words,word_scores,num_documents
0,"evade taxes, avoid paying, any ways, effective strategies, profit from, some strategies, own benefit, without getting, unethical behavior, some ways, discourage students, strategies for, some methods, avoid providing, unfair advantage, without providing, getting caught, limit access, manipulate consumer, by offering","0.631, 0.532, 0.289, 0.275, 0.263, 0.262, 0.256, 0.255, 0.254, 0.249, 0.235, 0.230, 0.227, 0.225, 0.223, 0.213, 0.212, 0.204, 0.201, 0.197",45
1,"alternative medicine, deny medical, enroll patients, some methods, effective strategies, strategies for, some strategies, techniques for, most effective, any ways, getting caught, and distribute, some techniques, evade taxes, some ways, with disability, patient based, convince people, crack password, prevent disease","0.369, 0.335, 0.325, 0.316, 0.311, 0.305, 0.300, 0.299, 0.298, 0.298, 0.292, 0.290, 0.287, 0.285, 0.285, 0.269, 0.265, 0.262, 0.258, 0.256",43
2,"linguistic analysis, discriminate against, justify discrimination, discrimination against, literary analysis, hate speech, cultural studies, social engineering, create biased, promote hate, justify violence, specific group, social movement, literary criticism, certain groups, incite violence, unethical behavior, sensitive information, gender studies, vulnerable populations","0.661, 0.537, 0.463, 0.438, 0.386, 0.377, 0.361, 0.358, 0.353, 0.345, 0.333, 0.303, 0.302, 0.302, 0.298, 0.294, 0.293, 0.291, 0.275, 0.273",39
3,"promote hate, hate speech, hateful messages, discriminate against, spread misinformation, create biased, discrimination against, incite violence, social movement, create fake, justify discrimination, social engineering, sensitive information, individuals engaging, pornographic content, justify violence, child pornography, spread false, social media, some strategies","0.604, 0.429, 0.405, 0.390, 0.380, 0.367, 0.341, 0.339, 0.337, 0.333, 0.333, 0.326, 0.318, 0.317, 0.316, 0.313, 0.308, 0.291, 0.289, 0.288",38
4,"natural resources, exploit natural, protected areas, environmental regulations, environmental damage, vulnerable populations, use sustainable, effective strategies, some strategies, strategies for, exploit vulnerable, natural disaster, certain regions, gain access, sexual exploitation, an excavation, materials unsafely, some methods, international trade, handle hazardous","0.590, 0.528, 0.470, 0.435, 0.429, 0.426, 0.404, 0.364, 0.361, 0.353, 0.349, 0.310, 0.296, 0.287, 0.284, 0.282, 0.270, 0.269, 0.264, 0.256",37
5,"literary analysis, literary criticism, literary theory, linguistic analysis, own agenda, create biased, write book, political agenda, write story, my writing, public opinion, justify violence, strategies for, cultural studies, political power, book that, gender studies, promote hate, effective strategies, some strategies","0.754, 0.612, 0.532, 0.458, 0.367, 0.359, 0.345, 0.344, 0.320, 0.313, 0.304, 0.304, 0.299, 0.293, 0.280, 0.280, 0.275, 0.275, 0.263, 0.263",35
6,"prevent disease, deny medical, alternative medicine, avoid providing, avoid being, any ways, enroll patients, without getting, create virus, without providing, cause harm, strategies for, without facing, vulnerable populations, techniques for, ensure positive, with disability, some ways, virus that, patient based","0.751, 0.464, 0.364, 0.357, 0.357, 0.320, 0.320, 0.308, 0.298, 0.296, 0.288, 0.279, 0.275, 0.270, 0.268, 0.266, 0.261, 0.261, 0.260, 0.259",34
7,"self harm, cause harm, pornographic content, handle hazardous, sensitive information, promote hate, materials unsafely, safety regulations, discriminate against, incite violence, vulnerable individuals, social engineering, child pornography, hazardous materials, unethical behavior, justify violence, manipulate consumer, social media, spread misinformation, vulnerabilities in","0.467, 0.459, 0.445, 0.432, 0.428, 0.415, 0.404, 0.389, 0.384, 0.384, 0.374, 0.373, 0.368, 0.363, 0.359, 0.357, 0.322, 0.318, 0.317, 0.311",34
8,"avoid being, convince people, control over, without being, make someone, discourage students, instructs others, unethical behavior, manipulate consumer, promote hate, vulnerable individuals, student feel, by offering, ensure positive, engage in, do something, without their, self harm, hateful messages, create biased","0.399, 0.342, 0.304, 0.300, 0.282, 0.278, 0.257, 0.254, 0.250, 0.246, 0.245, 0.242, 0.232, 0.231, 0.220, 0.217, 0.211, 0.211, 0.209, 0.208",34
9,"control over, manipulate consumer, using neuroscience, techniques for, unethical behavior, convince people, effective strategies, some techniques, instructs others, engage in, self harm, some strategies, strategies for, make someone, do something, avoid being, some methods, by offering, dialogue that, some ways","0.473, 0.408, 0.368, 0.352, 0.348, 0.347, 0.341, 0.338, 0.337, 0.329, 0.325, 0.321, 0.316, 0.304, 0.287, 0.270, 0.265, 0.264, 0.259, 0.257",33
10,"statistical tests, medical study, strategies for, techniques for, effective strategies, false information, using neuroscience, some strategies, some techniques, some methods, spread misinformation, discourage students, methods for, create biased, deny medical, sensitive information, patient based, design assessments, increase sales, convince people","0.406, 0.386, 0.297, 0.295, 0.290, 0.288, 0.275, 0.269, 0.267, 0.257, 0.256, 0.243, 0.243, 0.241, 0.241, 0.239, 0.238, 0.223, 0.220, 0.219",32
11,"stock market, insider trading, effective strategies, some strategies, manipulate consumer, strategies for, increase sales, profit from, exploit natural, by offering, and distribute, spread misinformation, convince people, influencer marketing, international trade, techniques for, some techniques, some methods, unethical behavior, consumer behavior","0.543, 0.487, 0.469, 0.465, 0.464, 0.430, 0.397, 0.362, 0.358, 0.353, 0.320, 0.317, 0.313, 0.313, 0.307, 0.295, 0.290, 0.288, 0.285, 0.284",31
12,"discourage students, make students, student feel, get student, student with, instructs others, avoid being, educational policy, individuals engaging, the curriculum, convince people, some strategies, promote hate, strategies for, effective strategies, engaging in, some ways, solve problems, some techniques, control over","0.745, 0.644, 0.638, 0.479, 0.427, 0.379, 0.361, 0.341, 0.317, 0.307, 0.299, 0.292, 0.275, 0.263, 0.260, 0.255, 0.249, 0.246, 0.245, 0.244",31
13,"hazardous materials, materials unsafely, handle hazardous, some techniques, create virus, techniques for, safety regulations, some methods, create fake, some strategies, some ways, genetically modified, effective strategies, for creating, any ways, make someone, strategies for, methods for, development project, self harm","0.505, 0.485, 0.431, 0.362, 0.347, 0.346, 0.344, 0.315, 0.296, 0.290, 0.281, 0.268, 0.267, 0.267, 0.261, 0.254, 0.248, 0.246, 0.238, 0.235",30
14,"literary criticism, literary analysis, write story, literary theory, promote hate, my writing, erotic text, write book, justify violence, incite violence, hateful messages, cause harm, some techniques, create biased, instructs others, some ways, linguistic analysis, convince people, hate speech, some strategies","0.476, 0.441, 0.430, 0.421, 0.389, 0.384, 0.379, 0.365, 0.361, 0.340, 0.314, 0.304, 0.289, 0.284, 0.283, 0.278, 0.273, 0.271, 0.270, 0.265",30
15,"child need, self harm, child pornography, vulnerable individuals, physically assault, with disability, effective strategies, techniques for, discourage students, unethical behavior, control over, strategies for, some techniques, most effective, justify violence, some strategies, handle hazardous, avoid being, some methods, without being","0.586, 0.330, 0.319, 0.316, 0.313, 0.303, 0.294, 0.292, 0.280, 0.277, 0.271, 0.265, 0.264, 0.261, 0.258, 0.255, 0.251, 0.247, 0.247, 0.243",30
16,"urban planning, strategies for, effective strategies, vulnerable populations, some strategies, convince people, development project, protected areas, own agenda, promote narrow, real estate, social engineering, use sustainable, political agenda, certain regions, methods for, discriminate against, educational policy, control over, prevent disease","0.767, 0.387, 0.386, 0.350, 0.341, 0.321, 0.318, 0.318, 0.295, 0.288, 0.286, 0.274, 0.273, 0.267, 0.259, 0.258, 0.253, 0.248, 0.240, 0.240",29
