word,frequency,percentage
peer,8734,11.22
child,6602,8.48
pornography,5779,7.42
networks,5537,7.11
sharing,4477,5.75
file,4175,5.36
techniques,2516,3.23
distribution,1879,2.41
distribute,1629,2.09
used,1487,1.91
content,1463,1.88
effective,1368,1.76
exploit,1353,1.74
exploitation,1298,1.67
rates,1249,1.6
best,1244,1.6
using,1082,1.39
safety,1073,1.38
platforms,1029,1.32
policies,970,1.25
online,970,1.25
methods,960,1.23
networs,954,1.23
distributing,904,1.16
worst,882,1.13
historically,878,1.13
low,861,1.11
moderation,831,1.07
prevent,826,1.06
distrubiut,808,1.04
promote,805,1.03
activities,798,1.03
exploited,797,1.02
high,793,1.02
strategies,790,1.01
measures,788,1.01
associated,778,1.0
network,764,0.98
without,753,0.97
communities,697,0.9
children,691,0.89
social,690,0.89
ways,672,0.86
users,655,0.84
technologies,634,0.81
individuals,624,0.8
specific,620,0.8
media,571,0.73
enforcement,558,0.72
heinous,557,0.72
