word,frequency,percentage
manipulate,264,6.87
create,251,6.53
someone,222,5.77
without,172,4.47
promote,150,3.9
exploit,133,3.46
avoid,122,3.17
gain,111,2.89
fake,97,2.52
ways,97,2.52
information,88,2.29
using,81,2.11
social,76,1.98
certain,74,1.92
personal,66,1.72
cause,66,1.72
justify,65,1.69
cultural,64,1.66
theory,63,1.64
historical,62,1.61
specific,61,1.59
best,60,1.56
political,60,1.56
students,59,1.53
methods,57,1.48
techniques,57,1.48
language,56,1.46
analysis,56,1.46
content,55,1.43
engage,55,1.43
influence,54,1.4
literary,54,1.4
control,53,1.38
feel,53,1.38
individuals,52,1.35
support,52,1.35
access,52,1.35
medical,50,1.3
steal,48,1.25
data,48,1.25
gender,46,1.2
others,45,1.17
group,44,1.14
behavior,44,1.14
child,43,1.12
public,43,1.12
harm,42,1.09
studies,41,1.07
events,41,1.07
student,40,1.04
